a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Pulau Karang\2. Pemilikan\Pulau Karang\Pulau Karang.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Karang,,,,Karang,Karang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Selatan\2. Pemilikan\Pulau Kultubai Selatan\Pulau Kultubai Selatan.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau KultubaiSelatan,,,,KultubaiSelatan,KultubaiSelatan,,,,
,C:\WP3WT\PPKT\SHP\Pulau Penambulai\2. Pemilikan\Pulau Penambulai\Pulau Penambulai.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas_M2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Penambulai,,,,Penambulai,Penambulai,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Utara\2. Pemilikan\Pulau Kultubai Utara\Pulau Kultubai Utara.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan', 'Ket']",2,Pulau,2017,Maluku,,Pulau KultubaiUtara,,,,KultubaiUtara,KultubaiUtara,,,,
,C:\WP3WT\PPKT\SHP\Pulau Ararkula\2. Pemilikan\Pulau Ararkula\Pulau Ararkula.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Ararkula,,,,Ararkula,Ararkula,,,,
,C:\WP3WT\PPKT\SHP\Pulau Enu\2. Pemilikan\Pulau Enu\Pulau Enu.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Enu,,,,Enu,Enu,,,,
,C:\WP3WT\PPKT\SHP\P Karimun Kecil\peta pemilikan tanah final.shp,"['TIPE_PEMIL', 'COUNT', 'MIN_ID', 'SUM_AREA', 'SUM_PERIME', 'COUNT_LUAS', 'FIRST_ALAM', 'FIRST_NAMA', 'FIRST_WNA_', 'FIRST_PROF', 'FIRST_DOMI', 'FIRST_STAT', 'SUM_HA', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau KarimunKecil,,,,KarimunKecil,KarimunKecil,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
